time,sat_id,az,el,pseudorange,carrier_phase,doppler,true_range,sat_x,sat_y,sat_z,sat_vx,sat_vy,sat_vz
0,1,128.9622823642945,21.96293338699241,1208547.1192090362,1208547.3519488152,292.8204732090282,1208538.8507914124,1135380.1682199189,6645684.688370557,1566154.8653006332,-4366.394010638426,-622.3180598033971,5815.5514088385125
0,23,113.87333750708204,12.48479933377134,1642392.2491963306,1642392.1472672138,-406.33797231939974,1642379.209789127,534563.7486656839,6715814.154918807,1587212.812074665,-4298.171852355664,-1028.4626061037352,5808.684386846934
0,802,-148.73188544951466,10.774383987478956,1780084.4690189755,1780084.7582405957,-1333.1218171959724,1780066.6364137006,2878510.719657096,6260902.761644533,780666.2274117908,-3429.351127522875,2324.8858494217307,-5991.192614522946
0,823,-87.70660514650754,15.459151347635954,1508710.2015107991,1508710.46385221,1682.4105064706596,1508695.4829632172,3269530.457079257,5677998.721630693,2270938.8293376938,-2812.698128490071,3830.7393400682367,-5518.957968629842
0,824,-169.20567966322312,13.639780366633897,1606540.6144576878,1606540.531631143,-2128.49785222128,1606525.9732644674,2307091.0275723874,6495809.472612694,758953.475375586,-3628.3602318737226,1990.1531378074244,-5994.525729332303
0,845,-89.81468830619546,29.81523276051847,1007638.4956483345,1007638.5017548646,1496.900743172386,1007629.5213884843,2749312.650319499,5954950.265599805,2250925.352878082,-3146.7796709854742,3546.227564527297,-5528.749853959342
0,846,168.16827154388997,13.202472028255196,1631282.4692770117,1631281.9713038225,-2748.6978928350445,1631267.9743288981,1716716.7585860896,6678596.320955178,737228.8171157073,-3794.990321475515,1638.6039290427298,-5997.764798185754
0,867,-97.03130416929163,62.25485015405595,621789.281961098,621789.3316248443,683.8723840512758,621784.2189265062,2205765.87645126,6184234.679310125,2230876.556454525,-3452.5370370628357,3232.77369739977,-5538.454937997856
0,888,-34.03327102002993,10.992975494484337,1762262.543082296,1762262.574947275,2998.6985193421774,1762244.6024745042,2655518.0271599763,5331422.313585975,3549213.509214691,-3127.8084826218987,4655.617741669195,-4643.682420059759
0,889,100.53913209599371,60.697831308532166,630117.1333209241,630117.2399497422,-1113.610839411792,630112.9347027316,1643257.5585082166,6363900.118063823,2210792.7548272596,-3727.4807211038287,2893.1618397711422,-5548.073069749056
0,910,-17.29389867488652,15.32301326413596,1513468.180411076,1513468.2431764058,2721.051688469894,1513454.6691770505,2166552.087874404,5558909.651264286,3532361.198012894,-3529.8614879717406,4342.31121912917,-4659.023969420998
0,911,93.84908212083326,29.130450199682645,1023919.607503018,1023919.8809850372,-1819.2444564460818,1023913.3458334028,1066316.908114887,6492394.835630605,2190674.2633013115,-3969.392101048526,2530.388468317143,-5557.604099477198
